Year,Analytic sample size (n),Unweighted count: access = 1,Unweighted count: access = 0,Unweighted count: access missing,Weighted numerator,Weighted denominator,Access rate (%) [manual construction],Access rate (%) [stored result],SE of access rate (pp),95% CI lower (pp),95% CI upper (pp),Manual minus stored rate
2010,62712,33374,27989,1349,48174257.31,91167414.73,52.84,51.57,0.01,51.56,51.58,0.012682334639
2011,61968,32410,28108,1450,48500810.91,92717209.26,52.31,50.96,0.01,50.95,50.97,0.013457294938
2012,61862,32263,28087,1512,49248598.64,95038144.57,51.82,50.41,0.0,50.4,50.42,0.014110164511
2013,62212,32132,28630,1450,49500277.81,96121291.28,51.5,50.19,0.0,50.18,50.2,0.01303230523
2014,61883,32602,27921,1360,102335531.54,197135958.92,51.91,50.67,0.0,50.66,50.68,0.012413224758
2015,62005,29000,31562,1443,47331236.96,99885180.51,47.39,46.18,0.0,46.17,46.19,0.012030845746
2016,57764,24934,31618,1212,44598757.33,102052664.76,43.7,42.77,0.0,42.76,42.78,0.009312359879
2017,58682,24190,33246,1246,42640266.15,103364595.54,41.25,40.35,0.0,40.34,40.36,0.009017708475
2018,56794,23655,31924,1215,44302219.14,104905108.35,42.23,41.3,0.0,41.29,41.31,0.009306374287
2019,57631,23494,32917,1220,43627806.56,106122115.01,41.11,40.19,0.0,40.18,40.2,0.009250135443
2020,48615,20153,27640,822,42974337.04,104717891.46,41.04,40.28,0.0,40.27,40.29,0.00757367473
2021,49141,19976,28201,964,41056055.13,101258246.39,40.55,39.7,0.0,39.69,39.71,0.008448969694
2022,47663,18627,27900,1136,40933524.97,105399494.34,38.84,37.86,0.0,37.85,37.87,0.009789369966
2023,45960,17909,26994,1057,41692177.54,107384953.15,38.82,37.84,0.0,37.83,37.85,0.009852324061
2024,45950,17891,27082,977,42029185.65,108113138.4,38.88,38.0,0.0,37.99,38.01,0.008726919659
Total / pooled,840842,382610,439819,18413,728945042.68,1615383406.6700003,45.125203073781044,,,,,
