year,access_rate,access_se,participation_unconditional,participation_unconditional_se,participation_conditional,participation_conditional_se,n_obs,access_ci_lower,access_ci_upper,participation_ci_lower,participation_ci_upper
2010,0.5157329709022804,5.104313569598433e-05,0.41645817193553064,5.056790502585478e-05,0.807507364144147,5.680319859196923e-05,62712,0.5156329263563163,0.5158330154482446,0.41635905884167995,0.41655728502938133
2011,0.5096474371506317,5.0555036824198773e-05,0.41411731159810883,5.003139025002417e-05,0.8125564486567056,5.603863171900958e-05,61968,0.5095483492784563,0.509746525022807,0.41401925007321877,0.4142153731229989
2012,0.5040880690805037,4.987888854335003e-05,0.4083605980876351,4.9259136377456925e-05,0.8100977252497109,5.589035282071524e-05,61862,0.5039903064589588,0.5041858317020487,0.4082640501803353,0.4084571459949349
2013,0.5019449401941736,4.970280783004636e-05,0.407910412397211,4.905475101469677e-05,0.8126596758588979,5.545825122904019e-05,62212,0.5018475226908267,0.5020423576975205,0.40781426508522217,0.4080065597091998
2014,0.5066982153899567,3.4745004026738775e-05,0.4003474152190863,3.42007134884696e-05,0.7901101741812482,4.0255599235861595e-05,61883,0.5066301151820644,0.5067663155978491,0.4002803818206489,0.4004144486175237
2015,0.4618256034120815,4.870597410574373e-05,0.35994381290265753,4.707265750709384e-05,0.7793933689325664,6.027173692187158e-05,62005,0.4617301397028343,0.46192106712132874,0.35985155049394363,0.36003607531137144
2016,0.42770471787114894,4.806254872212806e-05,0.328519995185729,4.575434805093605e-05,0.7681000032473325,6.319720564544124e-05,57764,0.4276105152756536,0.4277989204666443,0.32843031666354916,0.32860967370790883
2017,0.40350522481052875,4.737045093656646e-05,0.31358955007979783,4.490636041163061e-05,0.7771635428687398,6.37293338381084e-05,58682,0.40341237872669305,0.40359807089436445,0.31350153361339106,0.3136775665462046
2018,0.4130011742851232,4.716979265630574e-05,0.3223154393593766,4.488790213730273e-05,0.780422573658011,6.21936458251678e-05,56794,0.4129087214915168,0.41309362707872954,0.3222274590711875,0.32240341964756575
2019,0.40185933552735864,4.6696721459299e-05,0.3153600957516367,4.436367521577453e-05,0.7847524441302097,6.222340363610527e-05,57631,0.4017678099532984,0.40195086110141887,0.3152731429482138,0.3154470485550596
2020,0.4028083186505128,4.718790294438157e-05,0.3231991898284052,4.508042173732877e-05,0.8023647349468505,6.074542063978645e-05,48615,0.4027158303607418,0.4029008069402838,0.32311083220180004,0.3232875474550103
2021,0.3970099098878432,4.778240234639331e-05,0.31877060658293277,4.560055524591195e-05,0.8029285885407413,6.208142332325692e-05,49141,0.39691625637924427,0.3971035633964421,0.3186812294946508,0.31885998367121476
2022,0.3785761077462502,4.628574006058571e-05,0.3023633376381841,4.39269343598499e-05,0.7986857370324342,6.267374762988532e-05,47663,0.3784853876957315,0.37866682779676897,0.3022772408468388,0.30244943442952943
2023,0.37839739172358555,4.5845494575048124e-05,0.2974571006597016,4.3316129973165e-05,0.7860971221413445,6.35066388290174e-05,45960,0.37830753455421845,0.37848724889295265,0.2973722010449542,0.297542000274449
2024,0.38002495890079957,4.58368734880365e-05,0.29966670383216404,4.335171717319199e-05,0.7885447963705668,6.298641436980446e-05,45950,0.379935118628763,0.38011479917283614,0.2995817344665046,0.2997516731978235
