year,access_rate,access_se,participation_unconditional,participation_unconditional_se,participation_conditional,participation_conditional_se,n_obs,access_ci_lower,access_ci_upper,participation_ci_lower,participation_ci_upper
2010,0.5157,0.0001,0.4165,0.0001,0.8075,0.0001,62712,0.5156,0.5158,0.4164,0.4166
2011,0.5096,0.0001,0.4141,0.0001,0.8126,0.0001,61968,0.5095,0.5097,0.414,0.4142
2012,0.5041,0.0,0.4084,0.0,0.8101,0.0001,61862,0.504,0.5042,0.4083,0.4085
2013,0.5019,0.0,0.4079,0.0,0.8127,0.0001,62212,0.5018,0.502,0.4078,0.408
2014,0.5067,0.0,0.4003,0.0,0.7901,0.0,61883,0.5066,0.5068,0.4003,0.4004
2015,0.4618,0.0,0.3599,0.0,0.7794,0.0001,62005,0.4617,0.4619,0.3599,0.36
2016,0.4277,0.0,0.3285,0.0,0.7681,0.0001,57764,0.4276,0.4278,0.3284,0.3286
2017,0.4035,0.0,0.3136,0.0,0.7772,0.0001,58682,0.4034,0.4036,0.3135,0.3137
2018,0.413,0.0,0.3223,0.0,0.7804,0.0001,56794,0.4129,0.4131,0.3222,0.3224
2019,0.4019,0.0,0.3154,0.0,0.7848,0.0001,57631,0.4018,0.402,0.3153,0.3154
2020,0.4028,0.0,0.3232,0.0,0.8024,0.0001,48615,0.4027,0.4029,0.3231,0.3233
2021,0.397,0.0,0.3188,0.0,0.8029,0.0001,49141,0.3969,0.3971,0.3187,0.3189
2022,0.3786,0.0,0.3024,0.0,0.7987,0.0001,47663,0.3785,0.3787,0.3023,0.3024
2023,0.3784,0.0,0.2975,0.0,0.7861,0.0001,45960,0.3783,0.3785,0.2974,0.2975
2024,0.38,0.0,0.2997,0.0,0.7885,0.0001,45950,0.3799,0.3801,0.2996,0.2998
